Fecha,Latitud,Longitud,Profundidad_km,Magnitud
2015-09-16 22:54:28,-31.55,-71.86,11,8.4
2014-04-01 23:46:45,-19.57,-70.91,39,8.2
2016-12-25 14:22:23,-43.52,-74.39,30,7.6
2015-09-16 23:18:35,-31.59,-71.79,16,7.6
2014-04-03 02:43:15,-20.52,-70.44,28,7.6
2025-05-02 12:58:32,-56.88,-68.06,10,7.5
2024-07-19 01:50:47,-23.12,-68.07,145,7.4
2018-08-24 09:04:07,-11.07,-70.79,624,7.1
2015-09-16 22:59:15,-31.62,-71.75,27,7.1
2022-05-26 12:02:17,-14.7,-70.6,221,7
2020-09-01 04:09:27,-27.97,-71.24,31,7
2019-03-01 08:50:41,-14.7,-70.39,260,7
2018-01-14 09:18:44,-15.77,-74.67,35,7
2022-05-10 23:06:29,-23.38,-67.31,250,6.9
2020-06-03 07:35:34,-23.25,-68.53,123,6.9
2017-04-24 21:38:28,-33.09,-72.09,25,6.9
2015-11-11 02:46:16,-29.55,-72.26,12,6.9
2015-11-11 01:54:36,-29.46,-72.12,33,6.9
2015-11-07 07:31:41,-30.87,-71.43,48,6.8
2015-09-16 23:16:08,-31.9,-71.9,29,6.8
2012-03-25 22:37:06,-35.2,-72.22,41,6.8
2019-01-20 01:32:51,-30.28,-71.36,50,6.7
2015-09-21 17:39:58,-31.76,-71.55,13,6.7
2014-03-16 21:16:29,-19.96,-70.81,21,6.7
2013-01-30 20:15:41,-28.18,-70.88,52,6.7
2019-09-29 15:57:53,-35.47,-73.18,31,6.6
2019-08-01 18:28:03,-34.28,-72.51,13,6.6
2016-11-20 20:57:42,-31.65,-68.66,90,6.6
2015-09-17 04:10:27,-31.54,-71.75,41,6.6
2015-02-11 18:57:19,-23.17,-66.86,239,6.6
2023-10-31 12:33:43,-28.76,-71.51,45,6.5
2023-09-06 23:48:05,-30.34,-71.46,46,6.5
2017-02-18 12:10:16,-23.91,-67.26,266,6.5
2015-09-17 01:41:05,-31.11,-71.65,50,6.5
2013-10-31 23:03:58,-30.37,-71.5,52,6.5
2023-10-10 10:01:31,-22.86,-66.39,245,6.4
2023-07-17 03:05:10,-38.22,-70.86,206,6.4
2021-09-13 05:18:11,-23.83,-67.46,257,6.4
2021-01-10 03:54:13,-23.97,-67.06,226,6.4
2020-11-30 22:55:01,-24.26,-67.49,213,6.4
2016-11-04 16:20:45,-35.06,-71,95,6.4
2016-02-10 00:33:04,-30.63,-71.65,37,6.4
2015-02-02 10:49:49,-32,-67.53,148,6.4
2014-08-23 22:32:23,-32.74,-71.5,40,6.4
2012-05-14 10:00:40,-18.11,-70.24,120,6.4
2024-12-13 23:38:18,-35.34,-70.87,114,6.3
2023-03-22 16:00:31,-23.51,-66.69,240,6.3
2021-01-19 02:46:21,-31.83,-69.03,5,6.3
2020-09-06 01:16:58,-30.35,-71.54,30,6.3
2020-09-01 21:09:15,-27.98,-71.55,24,6.3
2019-06-14 00:19:11,-30.08,-72.2,37,6.3
2019-03-15 05:03:51,-17.85,-65.91,353,6.3
2018-11-01 22:19:52,-19.65,-69.41,101,6.3
2017-10-10 06:32:20,-18.49,-69.74,100,6.3
2015-11-27 21:00:21,-24.78,-70.55,37,6.3
2015-09-26 02:51:18,-30.79,-71.42,40,6.3
2015-09-19 12:52:20,-32.33,-71.91,27,6.3
2015-09-19 05:06:45,-29.65,-72.28,30,6.3
2015-03-23 04:51:38,-18.42,-69.27,121,6.3
2015-03-18 18:27:24,-36.1,-74.14,23,6.3
2014-09-24 11:16:14,-23.62,-67.16,257,6.3
2014-04-03 05:26:15,-20.8,-70.67,30,6.3
2014-04-03 05:26:14,-20.8,-70.65,38,6.3
2014-04-03 01:58:31,-20.29,-70.61,26,6.3
2020-12-27 21:39:17,-39.33,-74.82,26,6.2
2020-05-31 05:09:37,-15.82,-71.22,218,6.2
2018-04-10 10:19:33,-31,-71.54,74,6.2
2018-01-21 01:06:40,-18.88,-69.61,129,6.2
2017-04-15 08:19:43,-23.24,-68.05,156,6.2
2015-09-22 07:12:59,-31.45,-71.13,63,6.2
2015-09-21 05:39:34,-31.76,-71.74,41,6.2
2014-04-11 00:01:44,-20.72,-70.65,39,6.2
2022-11-13 02:24:59,-37.56,-73.69,24,6.1
2022-02-22 06:12:51,-22.67,-66.43,254,6.1
2020-12-06 16:47:42,-20.36,-69.07,108,6.1
2020-09-01 04:30:02,-28.07,-71.21,36,6.1
2019-11-04 21:53:24,-31.81,-71.34,56,6.1
2018-09-07 02:39:17,-28.91,-70.17,97,6.1
2018-06-21 16:08:02,-24.25,-67.47,190,6.1
2017-01-06 06:30:33,-22.31,-67.92,177,6.1
2015-10-05 16:33:27,-30.35,-71.47,29,6.1
2015-10-03 06:03:43,-37.56,-73.74,20,6.1
2015-09-16 23:03:56,-31.73,-71.68,30,6.1
2014-04-07 13:43:20,-20.13,-70.91,36,6.1
2014-04-04 01:37:52,-20.62,-70.61,33,6.1
2014-04-04 01:37:51,-20.62,-70.57,40,6.1
2014-03-23 18:20:00,-19.79,-70.94,34,6.1
2012-05-19 08:35:09,-25.74,-70.86,84,6.1
